id,disciplina,assunto,texto,A,B,C,D,E,gabarito,dificuldade,modelos
268,Ciencias,Biologia Basica,O coração humano e dividido em quantas camaras?,4,2,3,6,8,A,2,colegio_naval
269,Ciencias,Biologia Basica,A AIDS e causada pelo virus:,HIV,HPV,H1N1,Ebola,Dengue,A,1,colegio_naval
270,Ciencias,Biologia Basica,Os genes sao formados por:,DNA (acido desoxirribonucleico),RNA apenas,Proteinas,Lipideos,Carboidratos,A,2,colegio_naval
271,Ciencias,Fisica Basica,A velocidade de um carro que percorre 100 km em 2 horas e:,50 km/h,200 km/h,100 km/h,25 km/h,150 km/h,A,1,colegio_naval
272,Ciencias,Fisica Basica,A agua ferve a 100°C ao nivel do mar. Em Kelvin isso equivale a:,373 K,100 K,273 K,473 K,200 K,A,2,colegio_naval
273,Ciencias,Fisica Basica,A energia potencial gravitacional depende da:,Massa e altura do objeto,Velocidade e massa,Temperatura e pressao,Cor e material,Forma do objeto,A,1,colegio_naval
274,Ciencias,Fisica Basica,O fenomeno em que um raio de luz muda de direcao ao passar de um meio para outro e chamado de:,Refracao,Reflexao,Difracao,Absorcao,Polarizacao,A,2,colegio_naval
275,Ciencias,Fisica Basica,A unidade de medida de potencia eletrica no Sistema Internacional e o:,Watt (W),Joule (J),Newton (N),Ampere (A),Volt (V),A,1,colegio_naval
276,Ciencias,Fisica Basica,O principio da conservacao de energia afirma que a energia:,Nao pode ser criada nem destruida apenas transformada,Pode ser criada pela materia,E sempre destruida no movimento,E igual a massa,Depende da cor dos objetos,A,2,colegio_naval
277,Ciencias,Fisica Basica,O som necessita de um meio material para se propagar pois e uma onda:,Mecanica,Eletromagnetica,Luminosa,De radio,De calor,A,3,colegio_naval
278,Ciencias,Fisica Basica,A forca de atracao entre dois corpos e proporcional a suas massas e inversamente proporcional ao quadrado da distancia. Esta e a Lei da:,Gravitacao Universal de Newton,Inercia de Newton,Acao e Reacao de Newton,Boyle para gases,Conservacao de energia,A,3,colegio_naval
279,Ciencias,Quimica Basica,A agua e uma substancia formada por:,2 atomos de hidrogenio e 1 de oxigenio,1 atomo de hidrogenio e 2 de oxigenio,3 atomos de hidrogenio,2 atomos de oxigenio,Apenas hidrogenio,A,1,colegio_naval
280,Ciencias,Quimica Basica,Os metais em geral sao bons condutores de:,Calor e eletricidade,Luz apenas,Som apenas,Magnetismo apenas,Nenhuma das anteriores,A,2,colegio_naval
281,Ciencias,Quimica Basica,A reacao quimica que ocorre quando um metal enferruja (oxida) chama-se:,Oxidacao (corrosao),Reducao,Neutralizacao,Fotossintese,Fermentacao,A,1,colegio_naval
282,Ciencias,Quimica Basica,A tabela periodica organiza os elementos quimicos em ordem crescente de:,Numero atomico (quantidade de protons),Massa atomica,Tamanho do atomo,Estado fisico,Eletronegatividade,A,2,colegio_naval
283,Ciencias,Quimica Basica,A mistura de agua e sal de cozinha (NaCl) pode ser separada pelo processo de:,Evaporacao (destilacao simples),Filtracao,Decantacao,Centrifugacao,Flotacao,A,1,colegio_naval
284,Ciencias,Quimica Basica,O pH de uma solucao acida e:,Menor que 7,Igual a 7,Maior que 7,Igual a 14,Igual a 0,A,2,colegio_naval
285,Ciencias,Quimica Basica,A combustao do gas natural (metano CH₄) produz:,CO₂ e H₂O,CO e H₂,C e H₂O,CO₂ e H₂,CH₄ e O₂,A,1,colegio_naval
286,Estudos_Sociais,Historia Brasil,O Brasil foi colonizado por:,Portugal,Espanha,Franca,Holanda,Inglaterra,A,2,colegio_naval
287,Estudos_Sociais,Historia Brasil,A capital do Brasil e:,Brasilia,Rio de Janeiro,Sao Paulo,Salvador,Belo Horizonte,A,1,colegio_naval
288,Estudos_Sociais,Historia Brasil,O Brasil tornou-se independente de Portugal em:,1822,1889,1808,1500,1888,A,2,colegio_naval
289,Estudos_Sociais,Historia Geral,A organizacao que busca manter a paz entre as nacoes e chamada de:,ONU (Organizacao das Nacoes Unidas),FMI,OTAN,MERCOSUL,UNESCO,A,1,colegio_naval
290,Estudos_Sociais,Historia Geral,A Primeira Guerra Mundial ocorreu entre os anos de:,1914-1918,1939-1945,1900-1905,1920-1925,1910-1916,A,2,colegio_naval
291,Estudos_Sociais,Historia Geral,A Segunda Guerra Mundial terminou em:,1945,1944,1946,1943,1942,A,1,colegio_naval
292,Estudos_Sociais,Historia Brasil,A escravidao foi abolida no Brasil em:,1888,1889,1822,1900,1850,A,2,colegio_naval
293,Estudos_Sociais,Historia Brasil,O periodo em que o Brasil foi governado pelo Exercito (ditadura militar) foi entre:,1964-1985,1945-1960,1889-1930,1930-1945,1985-1990,A,1,colegio_naval
294,Estudos_Sociais,Geografia,O maior pais do mundo em extensao territorial e:,Russia,Canada,China,Brasil,Estados Unidos,A,2,colegio_naval
295,Estudos_Sociais,Geografia,O Brasil faz fronteira com quantos paises sul-americanos?,10,9,8,12,7,A,3,colegio_naval
296,Estudos_Sociais,Geografia,O maior rio do mundo em volume de agua e o:,Amazonas,Nilo,Mississippi,Parana,Yangtze,A,2,colegio_naval
297,Estudos_Sociais,Geografia,O continente africano e o segundo maior do mundo. Qual o maior?,Asia,America,Europa,Oceania,Antartica,A,1,colegio_naval
298,Estudos_Sociais,Geografia,A lingua oficial do Brasil e o:,Portugues,Espanhol,Ingles,Frances,Italiano,A,2,colegio_naval
299,Estudos_Sociais,Historia Geral,A internet foi criada originalmente como projeto:,Militar norte-americano (ARPANET),Comercial europeu,Academico brasileiro,Cientifico japones,Cultural frances,A,3,colegio_naval
300,Estudos_Sociais,Historia Brasil,A Proclamacao da Republica no Brasil foi liderada por:,Marechal Deodoro da Fonseca,Dom Pedro II,Getulio Vargas,Tiradentes,Jose Bonifacio,A,2,colegio_naval
